,,,,
Rank,Player,Account,Langage,Twitter
1,twitch.tv/reptar,ReptarRB,E,
2,LG_WeThePeople1,TTV_WeThePeople1,E,
3,COL_KIMCHI,COL_KIMCHI,?,
4,MgCiutch-TTV,MgCiutch-TTV,?,
5,DOJO_Enemy,DOJO_Enemy,E,
6,Returnx_O,Returnx_O,J,
7,Stankiniii,Stankiniii,E,
8,Be_Ideins,Be_Ideins,?,
9,douyinmaolaoshi,douyinmaolaoshi,?,
10,Meep,Dolorese,?,
11,N8V Mamba,N8V_Mamba,E,
12,SFD_Xianzuo,SFD_Xianzuo,?,
13,Twitch FA_inkya,FA_inkya,J,https://twitter.com/FA_inkya
14,Rainie y,VEIKIWRR,?,
15,kitty-nice,kitty-nice,?,
16,SNG_artiNN1,SNG_artiNN1,E,
17,douyu_ckkongbai,douyu_ckkongbai,C,
18,Geats Nine,BigBaoLei,C,
19,nvmessiahttv,nvmessiahttv,E,
20,FishSkr003,"FishSkr003",E,
21,BASIC,BEISICFeCK,E,
22,Achillea5,Achillea5,J,
23,Verrahh | Twitch,Verrahh,E,
24,E8 Enoch,Brother_Enoch,E,
25,Bridge198,Bridge198,J,
26,Luna8-TTV,Luna8-TTV,C,
27,Twitch,ImNaoki,J,https://twitter.com/NaoChaxN
28,Serein,ATTO_FPS,?,
29,JUS-Sze,SakurasCrying,C,
30,Yelishen1,Yelishen1,?,
31,mooreyapTV,mooreyapTV,E,
32,Codddy,COL_Codddy,E,
33,SeNaLMG7,SeNaLMG7,J,
34,DouYuAZu2tap,DouYuAZu2tap,?,
35,Zerbow,Zerbow,E,
36,FURIA_Patra,FURIA_Patra,?,
37,Kuku,Kuku127,C,
38,lRose-Ul,AirAmericaTV,E,
39,Aciuuuuu,i9zb,?,
40,Yumy_Schmeeeeekt,Yumy_Schmeeeeekt,?,
41,keepgamepure,plznocheat,?,
42,Au5tyn,lIIllIIIIIllIlll,E,
43,LiNkzr,LiNkzr,?,
44,coke-xiaomao-w-,coke-xiaomao-w-,C,
45,Bili_xiaren,bilibili_xiaren,C,
46,huahua,huahuahua03,C,
47,Cameloteee,Cameloteee,C,
48,Evieee_o0,Evieee_o,C,
49,HAO_wqtagashi,HAO_wqtagashi,J,https://twitter.com/wqtagashi_
50,Syuhno,Syuhno,E,
51,King_FPS,Sunflawah,E,
52,SNFLK,Snowflake124,?,
53,DJCaTLInK,SuperXXhahahaODD,C,
54,ViVy,asdfghjkzxcvbn12,E,
55,E6 JuyZi,JUYZl,?,
56,TheWayILovedU,TheWayILovedU,?,
57,Xx7-Hades-7xX,Xx7-Hades-7xX,?,
58,Cjracked,KingCJoker,?,
59,BloodLossFps,BloodLossFps,?,
60,Twitch.tv/Pstolz,Pstolzz,?,
61,why r u running?,bl00dju4n,?,
62,Botasky_s147,Botasky15,E,
63,Decided 2,natoyamashida,?,
64,diffq,diffq,E,
65,FA_woyao1da3,w0a1babamama,C,
66,Redemption.,maxlhz2021,C,
67,AreyouSillyDog,AreyouSillyDog,E,
68,TOP38-SKY,TOP38-SKY,C,
69,RCO_R1co,RCO_R1co,J,
70,Twitch_BuzzKong,BuzzKong,?,
71,vipe,217374215521321,?,
72,ULG.Y_SAD,Ancient018,?,
73,RTG_Mistak3r,RTG_Mistak3r,C,
74,kaka,Axiom_Airy,J,
75,_MZbeng,_MZbeng,C,
76,ZeusDevo,ZeusDevoxo,?,
77,ChromeHeartsFan,ChromeHeartsFan,?,
78,jfjjdfkjkdf,888iiioooooiiiii,?,
79,isooney,isooneyv2,?,
80,FORTNITETAICHOU,FORTNITETAICHOU,J,
81,tttcheekyttt_SBI,tttcheekyttt_SBI,J,https://twitter.com/tttcheekyttt
82,Lunpin8542,Lunpin8542,C,
83,522993804,522993804,C,
84,OneTwo3_,OneTwo3_R,E,
85,Awrrrrryx147,Awrrrrryx_,?,
86,Total Masters,liveit,?,
87,VOLZZ,V0LzZ,J,https://twitter.com/Res_VOLzZ_lIlI
88,kebab,cqq441219336,C,
89,nanton_Mai,nanton_Mai,?,
90,Datch,DaDATCH72,J,
91,Rileymekinac,Rileymekinac,E,
92,Fractolight,Fractolight,J,https://twitter.com/zxullo
93,Hatsuyuki,xxMehmet333,?,
94,xTs SIZU,SIZUof,?,
95,DNZ_Three-gods,DNZ_Three-gods,?,
96,HunterSchaffer,HunterSchaffer,?,
97,best7ove,SBI_Gsnkryu73,J,https://twitter.com/lililu44784357
98,Muffin,bili22420074,C,
99,@Frantic_FPS,Frantlcc,E,
100,Red velvet cake,sweetbaby11LL,C,
101,Red velvet cake,sweetbaby11LL,C,
102,YeDanFengGg,YeDanFengGg,C,
103,Excentis,Excentis,E,
104,Zorro_FPS,Zoroee,E,
