Rank,Player,Account,Language,Twitter
1,twitch.tv/reptar,ReptarRB,e,
2,LG_WeThePeople1,TTV_WeThePeople1,e,
3,COL_KIMCHI,COL_KIMCHI,e,
4,Enemy,DOJO_Enemy,e,
5,1Xynew,"1Xynew",e,
6,Bear,ATTO_FPS,?,
7,Assault,GodAssault,e,
8,Magnesium Clutch,MgCiutch-TTV,e,
9,HisWattson,HisWattsonTwitch,e,
10,N8V Mamba,N8V_Mamba,e,
11,OXG Vein,OXG_Vein,e,
12,AGL_QQ-w-,SakurasCrying,c,
13,nvmessiahttv,nvmessiahttv,e,
14,SuperSuyyy,"SuperSuyyy",?,
15,Keon | Twitch,KeonBergie,e,
16,Returnx_O,Returnx_O,c,
17,the_1WaWaa,the_1WaWaa,?,
18,DOUYU_ckkongbai,DOUYU_ckkongbai,c,
19,Boring2157,Nirvana_WTD,c,
20,twitch.tv/Naff,17Naff,e,
21,Fuhhnq,"777Fuhhnq",e,
22,Stankiniii,Stankiniii,e,
23,goatmeep1,Dolorese,c,
24,FURIA_Albralelie,FURIA_Albralelie,e,
25,Rileymekinac,Rileymekinac,e,
26,Yukoi,YukoiMATE,?,
27,Dezignful,Dezignful,?,
28,KfJackie_Chan,KfJackie_Chan,?,
29,shini,shinipc,e,
30,Fight47,Fight470,?,
31,Manatsu_o,Manatsu_o,j,
32,Twitch.tv/Pstolz,Pstolzz,?,
33,ChaoticMuch,Osivien,e,
34,Kuri,"diamondtester4k",e,
35,Gwy_lucky,"Gwy_lucky",?,
36,LOTR31,"NotLOTR31",e,
37,NIRUi7,NIRUi7,j,
38,E8 Enoch,Brother_Enoch,e,
39,hulalalahuu,"feigezhanfan",?,
40,tttcheekyttt_SBI,tttcheekyttt_SBI,j,https://twitter.com/tttcheekyttt
41,VOLZZ,V0LzZ,j,https://twitter.com/Res_VOLzZ_lIlI
42,Jesko,"Jeskoesk",?,
43,Verseki Super,"Yumy_Schmeeeeekt",?,
44,StayNaughty,StayNaughty,?,
45,Alliance_Effect,AlIiance_Effect,e,
46,WilcoxRaidXE,WilcoxRaidXE,?,
47,Lingyilove,Lingyilove,c,
48,Wuss-_X,"Wuss-_X",c,
49,JuyZi,JUYZl,e,
50,Zerbow,Zerbow,e,
51,SFD_shuyi,1365997231,?,
52,Poimwo_co,Poimwo_co,c,
53,OsivienTv,OsivienTv,e,
54,AirAmericaTV,AirAmericaTV,e,
55,Syuhno,Syuhno,e,
56,ProdigyAces <3,ProdigyAces,e,
57,Evieee_o,Evieee_o,c,
58,ONEMAGAZINE0DMG,ONEMAGAZINE0DMG,?,
59,Roar_Dezz1t,Roar_Kelt,j,https://twitter.com/zxullo
60,Datch,DaDATCH72,j,
61,XH-TingYu,XH-TingYu,j,
62,LiNkzr,LiNkzr,?,
63,moorecfgTV,mooreyapTV,?,
64,WwanM1015,"WwanM1015",?,
65,Adiuvant,Adiuvant,e,
66,ovo.OVO.TT,chen2348347,c,
67,batprxncess,queen_astro,e,
68,THalessDMDL,R5THaless,e,
69,Mist,"DearMercy",?,
70,KAI99JR,Kai99jr,e,
71,Rostyzlovf,Rostyzlovf,j,
72,Twitch FA_inkya,FA_inkya,j,
73,streamers,liveit,?,
74,Factual,"lIIllIIIIIllIlll",e,
75,ThisSwiftnessRG,ThisSwiftnessRG,e,
76,XIMMatrixMaster0,"XIMMatrixMaster0",?,
76,SAT_summerQAQ,SAT_summerQAQ,c,
78,K7meko,K7meko,?,
79,FL_Curihara,Curiharaa,j,
80,gavomk,GAVOM_SUPER,j,
81,TrashS19Ranking,TrashS19Ranking,c,
82,MotherHunter2547,MotherHunter2547,?,
83,OP Shex,Shexao,e,
84,MikeJitsu TTV,NjahiQ,e,
85,Fenic,xFenic,e,
86,3m-HengChiFPS,3m-HengChiFPS,c,
87,P0G CHAMlON,iNsatiab1e,?,
88,biesuowoliao,biesuowoliao,c,
89,wuli-HengChiCLUB,wuli426,c,
90,lzhidan,lzhidann,e,
91,DaHuAiii,prakatcat,c,
92,jayHANZO,jayHANZ0,e,
93,COL Codddy,COL_Codddy,e,
94,Pnoy_King,Sunflawah,e,
95,Kuku,Kuku127,e,
96,ovo,"shcx1",j,
97,Hubeg,Hubeg,?,
98,mitarasi_numa,homiee9_o,j,
99,kakigoori7,kqkigoori7,j,
100,1tappytheworld,1tappytheworld,?,
101,homiee9_o,homiee9_o,?,
103,JYS_Tian,Heisenber9v,c,
104,Mutiny,MutinyMax,e,
108,Destiny_moom,Destiny_moom,?,
109,APEX,Umustrunaway,?,
110,1tappytheworld,1tappytheworld,e,
111,Sentinel 99,COL_Monsoon,e,
112,xcmkewrj2123rd,DouYin-BoboSauce,?,
