APEX 日本人上位ランカーリスト 10月,,,
,,,
Rank,Player,,言語
1,E8_Shooby,,e
2,nvmessiahttv,,e
3,Douyu BigBoSsFps,lcarus_Official,e
4,popopo,NFT_zkYuTa,e
5,Curiharaa,,j
6,Luxfordy,Luxfordy,e
7,the_1WaWaa,the_1Izumi,e
8,xiaoyur,LaLaLandccc,c
9,Hatsuyuki,Manatsu_o,j
10,1-1,WC_PKHAO,e
11,kahayashoutaa,,j
12,JamesFearless,,e
13,xcznm1234,,c
14,DF_Demigod,,c
15,IDGAF,"MillionMelloK",c
16,RESAY,"bo2_RESAY_plzk",e
17,Qingyu_U,aa83342049,c
18,YiChenEnd,,c
19,Naff,"17Naff",e
20,Tinnnan,,c
21,Baiyinplayer,,c
22,OliilooCC,,e
23,SL_Dlwlrma,,c
24,Fractolight,LastRecolection,j
25,Awons,,e
26,WuW_Jackson,,c
27,Rhemzie,,e
28,sinnogen,,e
29,Cureda,,e
30,Iam_Despea,,j
31,Mqty_33,,j
32,E8 Enoch,"Brother_Enoch",e
33,:(,VeryKuteUwU,e
34,BalaGGbondTony,,e
35,ONEMAGAZINE0DMG,,e
36,SaveHana,,c
37,Kawahirakoll,OBBBSSS,e
38,AYYN0N,"TTV_AYYN0N",e
39,Gan0old4,LLogicc1,c
40,nygo,AdrianZLuis,e
41,LFT_KuGoddd,MRQBB,c
42,7-1 Classic,WilcoxRaidXE,c
43,P3NnYr0y41_T34,Roosamees,c
44,LFO_moorebidTV,,e
45,depreslyy,,e
46,Subration,,e
47,5965,SSVWXs,c
48,SHUT SHU,aefafe,e
49,ReptarRB,,e
50,LFT_kanata YT,BT_kanata,j
51,StrawVoV,,c
52,koronnx_TTV,,j
53,E8_Lilfredson,,e
54,OAOAOAOA00AO,,j
55,1mN0t3v4n,,c
56,pinky1024,,c
57,DODONGST,,c
58,>w<,KuriyamaMiraiw,c
59,2003 6 9,DearMercy,e
60,Ratatouille,keywestfl,e
61,Zzhutou123,,c
62,Qiong9,Marshall_Kaw,c
63,Limerence_Euphor,,e
64,Nvwang_BlLI,,c
