APEX 日本人上位ランカーリスト 11/初旬,,,,
Rank,Player,アカウント名,langage,Twitter
1,HisWattsonTwitch,HisWattsonTwitch,e,
2,Keon | Twitch,KeonBergie,e,
3,ImMadnessTV,ImMadnessTV,e,
4,Bear,ATTO_FPS,e,
5,N8V Mamba,N8V_Mamba,e,
6,Douyu_OuOKh,Douyu_OuOKh,e,
7,Bili_Lanxi,KPG_Lan,c,
8,LG_WeThePeople1,"TTV_WeThePeople1",e,
9,zaptoh,zaptoh,e,
10,StayNaughty,StayNaughty,e,
11,xynew,1Xynew,e,
12,COL KIMCHI,"COL_KIMCHI",e,
13,qzierr,"qzierr",e,
14,RETURN,Returnx_O,c,
15,MiaKnightley,Riddle_MiaK,J,https://twitter.com/MiaKnightley
16,WilcoxRaidXE,WilcoxRaidXE,c,
17,GhostBlane,GhostBlane,e,
18,LOTR31,NotLOTR31,e,
19,VOLZZ,V0LzZ,J,https://twitter.com/Res_VOLzZ_lIlI
20,Alliance_Effect,Nirvana_WTD,c,
21,Douyu_OuOBible,BlackBible0120,e,
22,ReptarRB,ReptarRB,e,
23,JhorseManBo,JhorseManBo,e,
24,tttcheekyttt_SBI,tttcheekyttt_SBI,J,https://twitter.com/tttcheekyttt
25,lzhidan,lzhidann,e,
26,Rileymekinac,Rileymekinac,e,
27,Blamede3d,Blamede3d,c,
28,Nautica,LevsBFF,e,
29,a,GAISEN_ARUFA,J,https://twitter.com/4rufq
30,lostrpgrind,lostrpgrind,e,
31,famaaaa,Mshmellooo,e,
32,INK_Cac9LL,INK_Cac9LL,c,
33,LG_Neazul,LG_Neazul,e,
34,SBI_Gsnkryu,3784164727816434,e,
35,shini,shinipc,e,
36,OXG Aidan,OXG_Aidan,e,
37,OsivienTv,OsivienTv,J,
38,Dezignful,Dezignful,e,
39,SUICIDAL,AG88009,e,
40,ChaoticMuch,OsivienTv,e,
41,CherryB1essing,CherryB1essing,e,
42,HolyMoonLight_w,Nightcore-sunset,J,
43,ThisSwiftnessRG,"ThisSwiftnessRG",e,
44,the_1WaWaa,the_1WaWaa,e,
45,Vudo,iiVudo,e,
46,zouxux,zouxux,J,
47,Datch,DaDATCH72,J,
48,Jukezy,"Peter_Parkinsons",e,
49,Hyper_pien_maruX,Hyper_pien_maruX,J,
50,NIRUi7,NIRUi7,J,
51,Kuri,diamondtester4k,e,
52,c8dcdea2faf5b192,"c8dcdea2faf5b192",c,
53,JamesFearless,"JamesFearless",e,
54,Alliance_Effect,AlIiance_Effect,e,
55,OXG_Reedz,OXG_Reedz,e,
56,gavomk,GAVOM_SUPER,J,
57,HUKU-HURUKAWA,HUKU-HURUKAWA,J,
58,ISH_IZAKI_abc,SSRB_lazy_s6,J,
59,DF_3Mz4090,DF_3Mz4090,c,
60,mitarasi_numa,mitarasi_numa,J,https://twitter.com/mitarashi_numa
60,homiee9_o,homiee9_o,c,
60,Assault,GodAssault,e,
60,u-u,zkYuTq,e,
60,Hatsuyuki,"Manatsu_o",c,
60,Rostyzlovf,Rostyzlovf,J,
60,pinokio8937,pinokio8937,e,
60,AGL-QQ,SakurasCrying,c,
60,if_u_lose u_cry,yarimasne,J,
69,Diagnosis,"apexbotfarming",e,
70,yejianbei2403,yejianbei2403,e,
71,ONEMAGAZINE0DMG,"ONEMAGAZINE0DMG",e,
72,Curiharaa,Curiharaa,J,
73,Zerbow,Zerbow,e,
74,Jexss :),LG_Jexss,e,
75,Kerberos2020,Kerberos2020,e,
76,E8 Enoch,Brother_Enoch,e,
77,ace_Cc77,"ace_Cc77",e,
78,AnilystzOnTwitch,AnilystzOnTwitch,e,
79,DrPupper_RG,DrPupper_RG,e,
80,Meow Meow Meow,COL_Codddy,e,
81,happy everyday,MRQBB,c,
82,pokemonches,RANCHESje,J,
83,yaz,Yaztoe,e,
84,DAMADAO,DAMANEKO-A,J,
84,MDY_FeiJu,MDY_FeiJu,e,
86,Laz_Butter_TTV,Laz_Butter_TTV,J,
87,yama_tai Twitter,"diliper4",J,
88,Mejiro_Ramonu_L,Mejiro_Ramonu_L,J,
89,1THaless,1THaless,e,
90,Fractolight,Fractolight,J,
91,DF_Roieee,DF_Roieee_o,e,
92,TSM ImperialHal,FTX_ImperialHa1,e,
93,983kuma_Twitch,983kuma_TTV,J,
94,9527_TTV,9527_TTV,e,
95,moorecfgTV,"moorecfgTV",e,
96,SimplyRoyalSmurf,SimplyRoyalSmurf,e,
97,scrappy,"scrvpmeister",e,
98,Magnesium Clutch,MgCiutch-TTV,e,
99,jayHANZO,jayHANZ0,e,
100,Team2,NXS_Andrew,e,
101,Twitch.tv/Pstolz,Pstolzz,e,
102,Twitch FA_inkya,FA_inkya,J,https://twitter.com/FA_inkya
103,aimer+ star,keepv8turboRAWW,e,
103,Team2,"NXS_Andrew",e,
105,Viper3,sleepyporket,e,
106,Meow Meow Meow,COL_Codddy,e,
107,Ekodream,"Ekodreamm",e,
108,SWQ_JoJo3yOuO,JoJo3y,e,
109,happy everyday,MRQBB,c,
110,pokemonches,"RANCHESje",J,
111,lnhumed,lnhumed,e,
112,yama_tai Twitter,"diliper4",J,
113,KisKq,imKisKq,J,
114,FORTNITETAICHOU,FORTNITETAICHOU,J,
115,@Cloaked,"TTV_CloakedFPS",e,
